SEXO,RAÇA,ESTADO_CIVIL,ESCOLARIDADE,IDADE,OCUPAÇÂO,RENDIMENTO,OCUPAÇÂO_1,OCUPAÇÂO_2,OCUPAÇÂO_3
2,4,5,10,28,9111,E,9,91,911
1,4,1,2,39,9214,E,9,92,921
2,4,1,2,37,9214,E,9,92,921
1,1,1,8,52,6111,E,6,61,611
2,1,1,5,47,6111,E,6,61,611
1,4,1,5,52,6111,E,6,61,611
2,4,1,5,51,6111,E,6,61,611
1,4,5,10,22,6114,E,6,61,611
2,4,1,5,45,6114,E,6,61,611
1,4,1,5,45,6114,E,6,61,611
1,4,1,5,45,7115,E,7,71,711
1,4,1,6,50,9211,E,9,92,921
2,2,5,10,34,9211,E,9,92,921
1,2,5,7,23,9211,E,9,92,921
2,1,5,5,27,9211,E,9,92,921
1,4,5,7,28,9212,E,9,92,921
2,4,1,11,42,2341,D,2,23,234
1,4,1,5,46,9214,E,9,92,921
1,4,1,7,32,6111,E,6,61,611
2,4,1,7,31,6111,E,6,61,611
1,2,5,10,28,5221,E,5,52,522
2,4,5,10,28,2622,E,2,26,262
1,4,1,10,30,6111,E,6,61,611
2,4,1,10,27,6111,E,6,61,611
2,4,5,7,21,9111,E,9,91,911
1,4,5,3,46,9211,E,9,92,921
1,1,1,10,32,6111,E,6,61,611
1,1,1,5,49,6111,E,6,61,611
2,4,1,6,48,6111,E,6,61,611
1,2,1,2,57,6114,E,6,61,611
2,2,1,5,55,6114,E,6,61,611
1,4,1,10,30,8332,B,8,83,833
1,4,5,2,48,9211,E,9,92,921
2,4,1,5,40,6111,E,6,61,611
1,4,1,5,44,9211,E,9,92,921
1,4,1,7,30,6111,E,6,61,611
1,1,5,5,59,6121,E,6,61,612
2,1,5,10,38,9214,E,9,92,921
1,4,5,5,26,6111,E,6,61,611
1,4,5,5,40,7115,E,7,71,711
2,4,1,5,47,6111,E,6,61,611
1,4,1,5,53,6111,E,6,61,611
2,4,5,10,22,6114,E,6,61,611
2,4,1,6,37,9412,E,9,94,941
1,4,1,7,42,7512,E,7,75,751
1,4,1,7,31,5223,E,5,52,522
2,4,1,7,26,6114,D,6,61,611
2,4,3,10,38,5321,E,5,53,532
1,4,5,7,38,5414,C,5,54,541
1,2,5,5,58,9214,E,9,92,921
1,1,1,5,48,6111,E,6,61,611
1,2,5,10,28,3112,A,3,31,311
1,4,5,7,27,7231,E,7,72,723
1,4,5,5,33,9211,E,9,92,921
1,1,1,6,29,9214,E,9,92,921
1,4,1,4,51,5414,D,5,54,541
2,1,1,3,54,6111,E,6,61,611
1,4,5,5,38,9211,E,9,92,921
1,4,1,10,35,5414,D,5,54,541
2,4,1,10,33,8153,E,8,81,815
2,4,1,10,34,6114,E,6,61,611
1,4,1,5,52,6130,E,6,61,613
2,4,5,10,27,9111,E,9,91,911
2,4,5,7,26,9111,E,9,91,911
1,4,5,6,26,9313,E,9,93,931
2,4,1,5,31,9111,E,9,91,911
2,4,1,10,23,6111,E,6,61,611
1,4,1,6,25,6111,E,6,61,611
1,2,1,5,46,8322,D,8,83,832
1,2,5,7,36,4110,E,4,41,411
2,4,5,10,31,9211,E,9,92,921
1,4,1,6,44,5412,E,5,54,541
2,4,1,3,58,6114,E,6,61,611
1,4,1,5,43,5221,D,5,52,522
2,4,1,5,44,9214,E,9,92,921
1,4,1,3,58,9214,E,9,92,921
2,4,5,10,29,9112,D,9,91,911
1,1,1,1,46,9211,E,9,92,921
2,4,1,5,42,9211,E,9,92,921
1,4,5,7,29,9211,E,9,92,921
1,1,1,5,30,9211,E,9,92,921
2,1,1,10,29,5230,E,5,52,523
2,5,1,5,46,9211,E,9,92,921
2,5,5,6,24,9211,E,9,92,921
2,4,5,5,36,9214,E,9,92,921
1,4,5,5,42,9214,E,9,92,921
1,2,1,5,44,7126,D,7,71,712
2,2,1,5,42,6111,E,6,61,611
1,1,5,5,27,6111,E,6,61,611
2,4,5,11,36,1120,C,1,11,112
2,4,5,5,26,9214,E,9,92,921
2,4,5,7,21,9214,E,9,92,921
1,4,5,5,39,9211,E,9,92,921
2,4,5,7,34,9211,E,9,92,921
2,1,5,10,32,5223,E,5,52,522
1,4,5,10,31,4110,E,4,41,411
2,4,5,10,21,5230,E,5,52,523
1,4,1,6,46,5414,D,5,54,541
1,4,1,2,25,6111,E,6,61,611
2,4,1,10,23,6111,E,6,61,611
1,4,1,7,54,6130,E,6,61,613
1,4,5,11,52,3313,D,3,33,331
2,4,5,7,26,9111,E,9,91,911
1,4,1,2,41,9211,E,9,92,921
2,4,1,6,34,9412,E,9,94,941
1,4,1,5,43,9211,E,9,92,921
2,4,1,5,42,6111,E,6,61,611
1,4,1,5,50,6111,D,6,61,611
1,4,1,7,51,7112,E,7,71,711
1,4,5,5,32,7536,D,7,75,753
2,4,1,3,58,9214,E,9,92,921
1,5,5,5,36,8332,E,8,83,833
2,1,1,2,53,9211,E,9,92,921
2,1,5,10,21,9111,E,9,91,911
2,4,1,5,48,9211,E,9,92,921
2,2,2,5,43,9214,E,9,92,921
1,1,1,6,34,9214,E,9,92,921
2,1,1,6,45,9214,E,9,92,921
1,4,5,5,35,6121,E,6,61,612
1,4,4,6,50,8331,E,8,83,833
2,4,4,6,50,9211,E,9,92,921
2,4,5,7,34,9211,E,9,92,921
2,4,1,10,30,6111,E,6,61,611
1,4,1,6,30,6112,E,6,61,611
2,4,1,5,25,6111,E,6,61,611
1,4,5,5,32,6111,E,6,61,611
1,4,3,3,57,6111,E,6,61,611
1,4,1,7,27,7112,D,7,71,711
2,4,1,7,23,9213,E,9,92,921
2,4,1,11,45,2341,C,2,23,234
1,1,1,11,30,2262,D,2,22,226
1,4,1,8,30,5223,E,5,52,522
1,4,1,2,42,9211,E,9,92,921
2,4,1,2,41,9214,E,9,92,921
2,4,5,7,32,6111,E,6,61,611
1,4,3,6,49,5221,E,5,52,522
1,4,1,5,35,6111,E,6,61,611
2,4,1,5,35,6111,E,6,61,611
1,4,1,5,35,8322,E,8,83,832
2,2,1,11,36,2341,D,2,23,234
1,2,5,5,29,9211,E,9,92,921
2,2,5,5,37,9211,E,9,92,921
1,4,5,7,23,6111,E,6,61,611
1,4,5,5,22,6130,E,6,61,613
2,1,1,12,35,2351,C,2,23,235
2,4,5,5,28,6111,E,6,61,611
1,4,5,5,36,6111,E,6,61,611
2,4,4,2,57,5153,D,5,51,515
1,1,5,3,59,8322,E,8,83,832
1,1,1,5,24,9211,E,9,92,921
1,4,5,6,22,9214,E,9,92,921
2,4,1,11,39,2341,D,2,23,234
1,4,1,3,47,7512,E,7,75,751
1,4,5,7,21,9313,E,9,93,931
2,4,1,5,47,9214,E,9,92,921
1,4,1,5,48,9313,D,9,93,931
2,4,1,5,34,9211,E,9,92,921
2,1,5,5,40,9111,E,9,91,911
1,4,5,7,35,9211,E,9,92,921
2,4,3,8,41,9112,E,9,91,911
1,4,5,5,37,9313,E,9,93,931
1,1,5,6,21,9214,E,9,92,921
1,4,1,11,33,5221,E,5,52,522
2,4,1,11,44,2342,D,2,23,234
1,1,1,6,37,6114,E,6,61,611
2,4,1,6,58,6111,E,6,61,611
1,4,1,10,25,9313,E,9,93,931
2,4,1,7,38,0000,E,0,0,0
